time,BTC_high,BTC_low,BTC_open,BTC_volumefrom,BTC_volumeto,BTC_close,BTC_conversionType,BTC_conversionSymbol,ETH_high,ETH_low,ETH_open,ETH_volumefrom,ETH_volumeto,ETH_close,ETH_conversionType,ETH_conversionSymbol,BCH_high,BCH_low,BCH_open,BCH_volumefrom,BCH_volumeto,BCH_close,BCH_conversionType,BCH_conversionSymbol,LTC_high,LTC_low,LTC_open,LTC_volumefrom,LTC_volumeto,LTC_close,LTC_conversionType,LTC_conversionSymbol
2017-12-20,17813.6,15642.69,17521.73,227676.13,3791752510.78,16461.97,direct,,830.2,713.75,812.5,1135826.7,889990388.6,799.17,direct,,4112.39,2665.55,2670.97,545546.68,1915071070.77,3715.91,direct,,346.73,286.54,346.73,2365656.66,752136890.57,304.81,direct,
2017-12-21,17301.83,14952.98,16461.09,163735.02,2619295475.76,15632.12,direct,,840.55,759.65,799.17,906371.43,725479885.52,789.39,direct,,3717.55,2857.3,3715.91,242943.03,787854447.7,3084.09,direct,,327.26,286.39,304.77,1381946.46,422642587.94,307.69,direct,
2017-12-22,15823.72,10875.71,15632.12,466980.6,6245731508.4,13664.97,direct,,794.16,490.28,789.39,2384161.57,1535685091.41,657.83,direct,,3163.97,1716.84,3084.09,397962.38,959174529.93,2521.46,direct,,309.11,158.96,307.69,4775833.04,1167484790.83,262.09,direct,
2017-12-23,15493.23,13356.07,13664.97,170169.39,2491903154.48,14396.46,direct,,747.53,651.1,657.81,663566.52,468771914.78,700.44,direct,,3249.32,2466.89,2521.45,189040.5,562467930.34,2991.57,direct,,312.71,256.31,262.15,1519044.69,433571769.1,284.11,direct,
2017-12-24,14413.72,12166.45,14396.63,182417.29,2428437693.16,13789.95,direct,,701.07,597.12,700.44,742417.69,477777689.82,675.91,direct,,2997.03,2463.15,2991.58,164197.45,439830450.44,2797.92,direct,,285.4,244.14,283.69,1190611.75,314928561.95,272.24,direct,
2017-12-25,14467.43,13010.71,13789.95,107475.98,1487888106.52,13833.49,direct,,747.36,671.71,676.08,536600.51,382873119.5,723.14,direct,,2852.47,2734.88,2822.8,186913.35,513771428.47,2748.71,multiply,BTC,283.46,262.39,272.24,569060.0,154893244.84,268.21,direct,
2017-12-26,16094.67,13748.49,13830.19,143135.26,2198577125.17,15756.56,direct,,840.14,731.1,721.24,956924.92,721022543.95,753.48,multiply,BTC,3145.01,2749.52,2748.06,215418.28,633027821.56,2938.6,multiply,BTC,283.86,267.58,268.03,687239.9,190763629.05,279.49,direct,
2017-12-27,16514.59,14534.66,15757.02,138705.28,2162831128.76,15416.64,direct,,766.53,706.67,753.44,474557.77,352542483.1,739.94,direct,,2881.37,2684.04,2937.11,214052.6,579805058.48,2708.7,multiply,BTC,285.32,252.87,279.47,812937.24,219103646.23,264.07,direct,
2017-12-28,15505.51,13466.07,15416.34,170366.63,2425912717.56,14398.7,direct,,741.46,671.23,739.93,624468.48,437323299.68,716.69,direct,,2575.93,2452.1,2708.65,215465.03,537028266.28,2492.41,multiply,BTC,265.65,224.07,264.07,1155310.98,281385850.91,249.86,direct,
2017-12-29,15109.81,13951.08,14398.45,118874.63,1733583750.2,14392.57,direct,,755.2,710.2,716.69,533531.26,392497843.64,739.6,direct,,2861.24,2373.33,2492.37,238241.77,623376083.73,2616.57,multiply,BTC,258.36,236.39,249.84,836578.77,207115905.19,243.13,direct,
